Acc,Pre,Rec,F1,IOU,Augmentation,Training Set (%)
0.950,0.969,0.915,0.942,0.889,NO,50.0%
0.967,0.976,0.950,0.963,0.928,SI,50.0%
0.952,0.974,0.915,0.944,0.894,NO,75.0%
0.953,0.970,0.921,0.945,0.896,SI,75.0%
0.956,0.961,0.937,0.949,0.903,NO,100.0%
0.961,0.976,0.934,0.955,0.913,SI,100.0%
